experiment_id,dataset_family,investigation_id,original_test_id,fuel_material,material_category,sample_description,oxygen_pct,pressure_mmhg,pressure_kpa,burn_time_s,extinction_outcome,extinction_diameter_mm,initial_diameter_mm,burning_rate_mms,airflow_velocity_cms,flame_temp_k,gravity_condition,ignition_power_w,ignition_time_s,co2_pct,co_ppm,test_date,source_name,source_url,notes
FLEX-143,FLEX,PSI-69,143,Methanol,Liquid Droplet,Droplet initial diameter: 2.25 mm,15.0,534.7,71.29,2.7,Extinction,2.06,2.25,0.36,0.0,1400.0,Microgravity (~0g),,,,,11/4/2010,NASA Physical Sciences Informatics (PSI),https://psi.nasa.gov/physci/repo/data/investigations/PSI-69,FLEX ID: C14M302. Extinction diameter: 2.06 mm. Burning rate: 0.36 mm/s.
FLEX-144,FLEX,PSI-69,144,Methanol,Liquid Droplet,Droplet initial diameter: 3.53 mm,20.0,761.9,101.58,23.8,Extinction,1.53,3.53,0.45,0.0,1400.0,Microgravity (~0g),,,,,11/16/10,NASA Physical Sciences Informatics (PSI),https://psi.nasa.gov/physci/repo/data/investigations/PSI-69,FLEX ID: C01M101. Extinction diameter: 1.53 mm. Burning rate: 0.45 mm/s.
FLEX-145,FLEX,PSI-69,145,Methanol,Liquid Droplet,Droplet initial diameter: 3.33 mm,20.0,763.5,101.79,20.0,Extinction,1.61,3.33,0.45,0.0,1400.0,Microgravity (~0g),,,,,11/16/10,NASA Physical Sciences Informatics (PSI),https://psi.nasa.gov/physci/repo/data/investigations/PSI-69,FLEX ID: C01M201. Extinction diameter: 1.61 mm. Burning rate: 0.45 mm/s.
FLEX-146,FLEX,PSI-69,146,Methanol,Liquid Droplet,Droplet initial diameter: 4.35 mm,20.0,765.5,102.06,39.2,Extinction,1.95,4.35,0.41,0.0,1400.0,Microgravity (~0g),,,,,11/16/10,NASA Physical Sciences Informatics (PSI),https://psi.nasa.gov/physci/repo/data/investigations/PSI-69,FLEX ID: C01M301. Extinction diameter: 1.95 mm. Burning rate: 0.41 mm/s.
FLEX-147,FLEX,PSI-69,147,Methanol,Liquid Droplet,Droplet initial diameter: 3.02 mm,17.0,535.7,71.42,7.8,Extinction,2.49,3.02,0.4,0.0,1400.0,Microgravity (~0g),,,,,9/13/2010,NASA Physical Sciences Informatics (PSI),https://psi.nasa.gov/physci/repo/data/investigations/PSI-69,FLEX ID: C13M102. Extinction diameter: 2.49 mm. Burning rate: 0.4 mm/s.
FLEX-148,FLEX,PSI-69,148,Heptane,Liquid Droplet,Droplet initial diameter: 2.58 mm,20.0,764.4,101.91,11.8,Disruption,1.15,2.58,0.54,0.0,1250.0,Microgravity (~0g),,,,,11/18/10,NASA Physical Sciences Informatics (PSI),https://psi.nasa.gov/physci/repo/data/investigations/PSI-69,FLEX ID: C01H101. Extinction diameter: 1.15 mm. Burning rate: 0.54 mm/s.
FLEX-149,FLEX,PSI-69,149,Heptane,Liquid Droplet,Droplet initial diameter: 2.21 mm,20.0,766.2,102.15,8.9,Disruption,0.82,2.21,0.53,0.0,1250.0,Microgravity (~0g),,,,,11/18/10,NASA Physical Sciences Informatics (PSI),https://psi.nasa.gov/physci/repo/data/investigations/PSI-69,FLEX ID: C01H201. Extinction diameter: 0.82 mm. Burning rate: 0.53 mm/s.
FLEX-150,FLEX,PSI-69,150,Heptane,Liquid Droplet,Droplet initial diameter: 3.18 mm,20.0,767.6,102.34,8.0,Extinction,2.54,3.18,0.46,0.0,1400.0,Microgravity (~0g),,,,,11/18/10,NASA Physical Sciences Informatics (PSI),https://psi.nasa.gov/physci/repo/data/investigations/PSI-69,FLEX ID: C01H302. Extinction diameter: 2.54 mm. Burning rate: 0.46 mm/s.
FLEX-151,FLEX,PSI-69,151,Methanol,Liquid Droplet,Droplet initial diameter: 3.86 mm,18.0,762.5,101.66,31.3,Completion,,3.86,0.36,0.0,1400.0,Microgravity (~0g),,,,,12/8/2010,NASA Physical Sciences Informatics (PSI),https://psi.nasa.gov/physci/repo/data/investigations/PSI-69,FLEX ID: C03M101. Extinction diameter: None mm. Burning rate: 0.36 mm/s.
FLEX-152,FLEX,PSI-69,152,Methanol,Liquid Droplet,Droplet initial diameter: 3.33 mm,18.0,765.0,101.99,23.2,Extinction,1.23,3.33,0.43,0.0,1400.0,Microgravity (~0g),,,,,12/8/2010,NASA Physical Sciences Informatics (PSI),https://psi.nasa.gov/physci/repo/data/investigations/PSI-69,FLEX ID: C03M201. Extinction diameter: 1.23 mm. Burning rate: 0.43 mm/s.
